id,Date,Species,Height
Pa22,2020-04,Pandanus tectorius,33.80862325
Pr22,2020-04,Premna serratifolia,39.91128094
Ix22,2020-04,Ixora.triantha,24.75525828
Pa23,2020-04,Pandanus tectorius,64.14761889
Pr23,2020-04,Premna serratifolia,29.94243873
Ix23,2020-04,Ixora.triantha,17.22058402
Pa24,2020-04,Pandanus tectorius,50.92875723
Pr24,2020-04,Premna serratifolia,33.95759989
Ix24,2020-04,Ixora.triantha,22.57472772
Pa25,2020-04,Pandanus tectorius,46.69731121
Pr25,2020-04,Premna serratifolia,34.03297927
Ix25,2020-04,Ixora.triantha,32.92363563
Pa26,2020-04,Pandanus tectorius,32.17959356
Pr26,2020-04,Premna serratifolia,45.38247216
Ix26,2020-04,Ixora.triantha,16.61104398
Pa27,2020-04,Pandanus tectorius,37.4451851
Pr27,2020-04,Premna serratifolia,34.31909036
Ix27,2020-04,Ixora.triantha,19.85829577
Pa28,2020-04,Pandanus tectorius,38.10880681
Pr28,2020-04,Premna serratifolia,24.28731113
Ix28,2020-04,Ixora.triantha,19.0752599
Pa29,2020-04,Pandanus tectorius,40.54259945
Pr29,2020-04,Premna serratifolia,32.20092923
Ix29,2020-04,Ixora.triantha,18.73956258
Pa30,2020-04,Pandanus tectorius,32.7839603
Pr30,2020-04,Premna serratifolia,32.44096299
Ix30,2020-04,Ixora.triantha,17.47117163
Pa31,2020-04,Pandanus tectorius,40.92513634
Pr31,2020-04,Premna serratifolia,30.7892432
Ix31,2020-04,Ixora.triantha,14.19058615
Pa32,2020-04,Pandanus tectorius,65.43474428
Pr32,2020-04,Premna serratifolia,25.19237047
Ix32,2020-04,Ixora.triantha,11.28657783
Pa33,2020-04,Pandanus tectorius,44.6079214
Pr33,2020-04,Premna serratifolia,34.53931224
Ix33,2020-04,Ixora.triantha,24.46177612
Pa34,2020-04,Pandanus tectorius,6.242943115
Pr34,2020-04,Premna serratifolia,22.13125701
Ix34,2020-04,Ixora.triantha,26.6903284
Pa35,2020-04,Pandanus tectorius,44.46073275
Pr35,2020-04,Premna serratifolia,30.62082227
Ix35,2020-04,Ixora.triantha,24.46374728
Pa36,2020-04,Pandanus tectorius,56.06160801
Pr36,2020-04,Premna serratifolia,29.95259489
Ix36,2020-04,Ixora.triantha,23.57784233
Pa37,2020-04,Pandanus tectorius,40.44873512
Pr37,2020-04,Premna serratifolia,35.37064878
Ix37,2020-04,Ixora.triantha,12.94650757
Pa38,2020-04,Pandanus tectorius,36.61856508
Pr38,2020-04,Premna serratifolia,26.40968494
Ix38,2020-04,Ixora.triantha,28.79925846
Pa39,2020-04,Pandanus tectorius,36.02222628
Pr39,2020-04,Premna serratifolia,42.61047015
Ix39,2020-04,Ixora.triantha,23.67071697
Pa40,2020-04,Pandanus tectorius,60.81044308
Pr40,2020-04,Premna serratifolia,30.83965216
Ix40,2020-04,Ixora.triantha,29.71453585
Pa41,2020-04,Pandanus tectorius,48.19312892
Pr41,2020-04,Premna serratifolia,30.06959003
Ix41,2020-04,Ixora.triantha,19.16814143
Pa42,2020-04,Pandanus tectorius,35.7137508
Pr42,2020-04,Premna serratifolia,38.63296824
Ix42,2020-04,Ixora.triantha,11.93942858
Pa43,2020-04,Pandanus tectorius,55.20885033
Pr43,2020-04,Premna serratifolia,39.82342821
Ix43,2020-04,Ixora.triantha,29.55193594
Pa44,2020-04,Pandanus tectorius,33.95753522
Pr44,2020-04,Premna serratifolia,33.27404993
Ix44,2020-04,Ixora.triantha,13.18970842
Pa45,2020-04,Pandanus tectorius,26.87804756
Pr45,2020-04,Premna serratifolia,40.29718959
Ix45,2020-04,Ixora.triantha,19.1685899
Pa46,2020-04,Pandanus tectorius,49.57919519
Pr46,2020-04,Premna serratifolia,31.07052223
Ix46,2020-04,Ixora.triantha,29.92938293
Pa47,2020-04,Pandanus tectorius,43.6362389
Pr47,2020-04,Premna serratifolia,45.28581189
Ix47,2020-04,Ixora.triantha,19.83060576
Pa48,2020-04,Pandanus.tectorius,45.43534203
Pr48,2020-04,Premna serratifolia,43.91178155
Ix48,2020-04,Ixora.triantha,17.62100338
Pa49,2020-04,Pandanus.tectorius,71.46401755
Pr49,2020-04,Premna serratifolia,29.94116905
Ix49,2020-04,Ixora.triantha,26.6401883
Pa50,2020-04,Pandanus.tectorius,32.83799998
Pr50,2020-04,Premna serratifolia,34.33663127
Ix50,2020-04,Ixora.triantha,14.94831487
Pa1,2021-09,Pandanus.tectorius,93.36954569
Pr1,2021-09,Premna serratifolia,124.5352375
Ix1,2021-09,Ixora.triantha,40.02379794
Pa2,2021-09,Pandanus.tectorius,149.4295045
Pr2,2021-09,Premna serratifolia,119.5180514
Ix2,2021-09,Ixora.triantha,34.75511152
Pa3,2021-09,Pandanus.tectorius,120.5091739
Pr3,2021-09,Premna serratifolia,71.9736944
Ix3,2021-09,Ixora.triantha,29.79800844
Pa4,2021-09,Pandanus.tectorius,117.7162177
Pr4,2021-09,Premna serratifolia,118.4032411
Ix4,2021-09,Ixora.triantha,45.77133235
Pa5,2021-09,Pandanus.tectorius,32.1855191
Pr5,2021-09,Premna serratifolia,67.97971264
Ix5,2021-09,Ixora.triantha,47.42620297
Pa6,2021-09,Pandanus.tectorius,152.1192682
Pr6,2021-09,Premna serratifolia,156.8118869
Ix6,2021-09,Ixora.triantha,-11.23167047
Pa7,2021-09,Pandanus.tectorius,145.7983917
Pr7,2021-09,Premna serratifolia,79.69565694
Ix7,2021-09,Ixora.triantha,35.4988227
Pa8,2021-09,Pandanus.tectorius,47.75845987
Pr8,2021-09,Premna serratifolia,154.8774597
Ix8,2021-09,Ixora.triantha,27.1836848
Pa9,2021-09,Pandanus.tectorius,109.8936699
Pr9,2021-09,Premna serratifolia,124.2222554
Ix9,2021-09,Ixora.triantha,6.903044543
Pa10,2021-09,Pandanus.tectorius,114.2235614
Pr10,2021-09,Prenna serratifolia,131.3764405
Ix10,2021-09,Ixora.triantha,59.75843578
Pa11,2021-09,Pandanus.tectorius,41.90236714
Pr11,2021-09,Premna serratifolia,158.835808
Ix11,2021-09,Ixora.triantha,27.72811999
Pa12,2021-09,Pandanus.tectorius,73.8568955
Pr12,2021-09,Premna serratifolia,180.8165015
Ix12,2021-09,Ixora.triantha,19.0406749
Pa13,2021-09,Pandanus.tectorius,115.1805249
Pr13,2021-09,Premna serratifolia,126.7598958
Ix13,2021-09,Ixora.triantha,34.68245443
Pa14,2021-09,Pandanus.tectorius,95.64915957
Pr14,2021-09,Premna serratifolia,121.0667012
Ix14,2021-09,Ixora.triantha,42.66309572
Pa15,2021-09,Pandanus.tectorius,125.6677898
Pr15,2021-09,Premna serratifolia,146.3913795
Ix15,2021-09,Ixora.triantha,24.63319955
Pa16,2021-09,Pandaus tectorius,53.18497235
Pr16,2021-09,Premna serratifolia,149.9523813
Ix16,2021-09,Ixora.triantha,25.35365697
Pa17,2021-09,Pandanus.tectorius,80.18326216
Pr17,2021-09,Premna serratifolia,145.6694089
Ix17,2021-09,Ixora.triantha,38.33725496
Pa18,2021-09,Pandanus.tectorius,181.6989698
Pr18,2021-09,Premna serratifolia,173.6722416
Ix18,2021-09,Ixora.triantha,28.71591319
Pa19,2021-09,Pandanus.tectorius,129.249005
Pr19,2021-09,Premna serratifolia,188.435087
Ix19,2021-09,Ixora.triantha,34.91500699
Pa20,2021-09,Pandanus.tectorius,65.80935463
Pr20,2021-09,Premna serratifolia,126.4737278
Ix20,2021-09,Ixora.triantha,25.3508461
Pa21,2021-09,Pandanus.tectorius,75.01926106
Pr21,2021-09,Premna serratifolia,100.1226529
Ix21,2021-09,Ixora.triantha,18.08428615
Pa22,2021-09,Pandanus.tectorius,102.9766767
Pr22,2021-09,Premna serratifolia,180.0762705
Ix22,2021-09,Ixora.triantha,17.30482586
Pa23,2021-09,Pandanus.tectorius,85.81574969
Pr23,2021-09,Premna serratifolia,144.8850777
Ix23,2021-09,Ixora.triantha,43.92065059
Pa24,2021-09,Pandanus.tectorius,64.03307848
Pr24,2021-09,Premna serratifolia,110.2733323
Ix24,2021-09,Ixora.triantha,29.8262659
Pa25,2021-09,Pandanus.tectorius,162.7520052
Pr25,2021-09,Premna serratifolia,90.83547088
Ix25,2021-09,Ixora.triantha,47.57061688
Pa26,2021-09,Pandanus.tectorius,130.5812089
Pr26,2021-09,Premna serratifolia,141.798482
Ix26,2021-09,Ixora.triantha,48.41575897
Pa27,2021-09,Pandanus.tectorius,146.5922184
Pr27,2021-09,Premna serratifolia,104.9354949
Ix27,2021-09,Ixora.triantha,18.57262908
Pa28,2021-09,Pandanus.tectorius,87.35685056
Pr28,2021-09,Premna serratifolia,124.6945679
Ix28,2021-09,Ixora.triantha,26.67365956
Pa29,2021-09,Pandanus.tectorius,113.3299654
Pr29,2021-09,Premna serratifolia,77.22730253
Ix29,2021-09,Ixora.triantha,46.61683144
Pa30,2021-09,Pandanus.tectorius,46.5350257
Pr30,2021-09,Premna serratifolia,150.6569558
Ix30,2021-09,Ixora.triantha,25.04027877
Pa31,2021-09,Pandanus.tectorius,123.786621
Pr31,2021-09,Premna serratifolia,198.5578526
Ix31,2021-09,Ixora.triantha,34.06252448
Pa32,2021-09,Pandanus.tectorius,136.6632625
Pr32,2021-09,Premna.serratifolia,132.7390723
Ix32,2021-09,Ixora.triantha,25.88523786
Pa33,2021-09,Pandanus.tectorius,162.9481016
Pr33,2021-09,Premna.serratifolia,115.3676053
Ix33,2021-09,Ixora.triantha,39.22307406
Pa34,2021-09,Pandanus.tectorius,108.025986
Pr34,2021-09,Premna.serratifolia,137.2562546
Ix34,2021-09,Ixora.triantha,30.76859297
Pa35,2021-09,Pandanus.tectorius,88.24311843
Pr35,2021-09,Premna.serratifolia,182.4579076
Ix35,2021-09,Ixora.triantha,24.80671129
Pa36,2021-09,Pandanus.tectorius,115.0662303
Pr36,2021-09,Premna.serratifolia,119.2358146
Ix36,2021-09,Ixora.triantha,27.30308206
Pa37,2021-09,Pandanus.tectorius,163.0720979
Pr37,2021-09,Premma Serratifolia,89.58494474
Ix37,2021-09,Ixora.triantha,24.05311806
Pa38,2021-09,Pandanus.tectorius,125.7313839
Pr38,2021-09,Premma serratifolia,115.0684657
Ix38,2021-09,Ixora.triantha,27.11705323
Pa39,2021-09,Pandanus.tectorius,122.4478282
Pr39,2021-09,Premna.serratifolia,93.07263837
Ix39,2021-09,Ixora.triantha,0.839514712
Pa40,2021-09,Pandanus.tectorius,119.9853353
Pr40,2021-09,Premna.serratifolia,108.5519208
Ix40,2021-09,Ixora.triantha,18.44579431
Pa41,2021-09,Pandanus.tectorius,120.3574898
Pr41,2021-09,Premna.serratifolia,124.9825821
Ix41,2021-09,Ixora.triantha,32.48119962
Pa42,2021-09,Pandanus.tectorius,119.3517253
Pr42,2021-09,Premna.serratifolia,179.1994055
Ix42,2021-09,Ixora.triantha,30.87665875
Pa43,2021-09,Pandanus.tectorius,121.2153668
Pr43,2021-09,Premna.serratifolia,152.4440645
Ix43,2021-09,Ixora.triantha,32.9666096
Pa44,2021-09,Pandanus.tectorius,62.70136495
Pr44,2021-09,Premna.serratifolia,115.6293098
Ix44,2021-09,Ixora.triantha,39.79939942
Pa45,2021-09,Pandanus.tectorius,164.2881114
Pr45,2021-09,Premna.serratifolia,122.4047168
Ix45,2021-09,Ixora.triantha,27.91994996
Pa46,2021-09,Pandanus.tectorius,129.629731
Pr46,2021-09,Premna.serratifolia,134.6253821
Ix46,2021-09,Ixora.triantha,24.76321135
Pa47,2021-09,Pandanus.tectorius,148.2100033
Pr47,2021-09,Premna.serratifolia,114.4766931
Ix47,2021-09,Ixora.triantha,10.74384585
Pa48,2021-09,Pandanus.tectorius,194.4804703
Pr48,2021-09,Premna.serratifolia,122.1889341
Ix48,2021-09,Ixora.triantha,48.90759483
Pa49,2021-09,Pandanus.tectorius,127.5642074
Pr49,2021-09,Premna.serratifolia,102.4882188
Ix49,2021-09,Ixora.triantha,22.63935743
Pa50,2021-09,Pandanus.tectorius,93.43190462
Pr50,2021-09,Premna.serratifolia,129.8042187
Ix50,2021-09,Ixora.triantha,24.83122146
